frame,t_s,min_z,mean_z,v_max
450,0.090000,0.060308,0.260281,0.881953
451,0.090200,0.060131,0.260104,0.883913
452,0.090400,0.059954,0.259927,0.885873
453,0.090600,0.059777,0.259750,0.887833
454,0.090800,0.059599,0.259572,0.889792
455,0.091000,0.059421,0.259394,0.891752
456,0.091200,0.059242,0.259215,0.893712
457,0.091400,0.059063,0.259036,0.895672
458,0.091600,0.058884,0.258857,0.897631
459,0.091800,0.058704,0.258677,0.899591
460,0.092000,0.058524,0.258497,0.901551
461,0.092200,0.058343,0.258317,0.903511
462,0.092400,0.058163,0.258136,0.905471
463,0.092600,0.057981,0.257955,0.907431
464,0.092800,0.057800,0.257773,0.909391
465,0.093000,0.057617,0.257591,0.911351
466,0.093200,0.057435,0.257408,0.913311
467,0.093400,0.057252,0.257225,0.915271
468,0.093600,0.057069,0.257042,0.917230
469,0.093800,0.056885,0.256858,0.919190
470,0.094000,0.056701,0.256674,0.921150
471,0.094200,0.056517,0.256490,0.923110
472,0.094400,0.056332,0.256305,0.925070
473,0.094600,0.056147,0.256120,0.927029
474,0.094800,0.055961,0.255934,0.928989
475,0.095000,0.055775,0.255748,0.930949
476,0.095200,0.055589,0.255562,0.932909
477,0.095400,0.055402,0.255375,0.934869
478,0.095600,0.055215,0.255188,0.936829
479,0.095800,0.055027,0.255000,0.938789
480,0.096000,0.054839,0.254812,0.940749
481,0.096200,0.054651,0.254624,0.942709
482,0.096400,0.054462,0.254435,0.944669
483,0.096600,0.054273,0.254246,0.946629
484,0.096800,0.054083,0.254057,0.948588
485,0.097000,0.053894,0.253867,0.950548
486,0.097200,0.053703,0.253676,0.952508
487,0.097400,0.053512,0.253486,0.954468
488,0.097600,0.053321,0.253295,0.956428
489,0.097800,0.053130,0.253103,0.958388
490,0.098000,0.052938,0.252911,0.960348
491,0.098200,0.052746,0.252719,0.962308
492,0.098400,0.052553,0.252526,0.964267
493,0.098600,0.052360,0.252333,0.966227
494,0.098800,0.052167,0.252140,0.968187
495,0.099000,0.051973,0.251946,0.970147
496,0.099200,0.051778,0.251752,0.972107
497,0.099400,0.051584,0.251557,0.974066
498,0.099600,0.051389,0.251362,0.976026
499,0.099800,0.051193,0.251167,0.977986
500,0.100000,0.050998,0.250971,0.979946
501,0.100200,0.050801,0.250775,0.981906
502,0.100400,0.050605,0.250578,0.983867
503,0.100600,0.050408,0.250381,0.985826
504,0.100800,0.050210,0.250184,0.987786
505,0.101000,0.050013,0.249986,0.989745
506,0.101200,0.049815,0.249788,0.991705
507,0.101400,0.049616,0.249589,0.993665
508,0.101600,0.049417,0.249390,0.995625
509,0.101800,0.049218,0.249191,0.997585
510,0.102000,0.049018,0.248991,0.999545
511,0.102200,0.048818,0.248791,1.001505
512,0.102400,0.048617,0.248591,1.003465
513,0.102600,0.048417,0.248390,1.005425
514,0.102800,0.048215,0.248188,1.007385
515,0.103000,0.048014,0.247987,1.009345
516,0.103200,0.047811,0.247785,1.011304
517,0.103400,0.047609,0.247582,1.013264
518,0.103600,0.047406,0.247379,1.015224
519,0.103800,0.047203,0.247176,1.017184
520,0.104000,0.046999,0.246972,1.019144
521,0.104200,0.046795,0.246768,1.021104
522,0.104400,0.046591,0.246564,1.023064
523,0.104600,0.046386,0.246359,1.025023
524,0.104800,0.046181,0.246154,1.026983
525,0.105000,0.045975,0.245948,1.028943
526,0.105200,0.045769,0.245742,1.030903
527,0.105400,0.045563,0.245536,1.032863
528,0.105600,0.045356,0.245329,1.034823
529,0.105800,0.045149,0.245122,1.036782
530,0.106000,0.044941,0.244915,1.038742
531,0.106200,0.044733,0.244707,1.040702
532,0.106400,0.044525,0.244498,1.042662
533,0.106600,0.044316,0.244290,1.044622
534,0.106800,0.044107,0.244080,1.046581
535,0.107000,0.043898,0.243871,1.048541
536,0.107200,0.043688,0.243661,1.050501
537,0.107400,0.043477,0.243451,1.052461
538,0.107600,0.043267,0.243240,1.054420
539,0.107800,0.043056,0.243029,1.056380
540,0.108000,0.042844,0.242817,1.058340
541,0.108200,0.042632,0.242605,1.060300
542,0.108400,0.042420,0.242393,1.062260
543,0.108600,0.042207,0.242181,1.064220
544,0.108800,0.041994,0.241968,1.066179
545,0.109000,0.041781,0.241754,1.068139
546,0.109200,0.041567,0.241540,1.070099
547,0.109400,0.041353,0.241326,1.072059
548,0.109600,0.041138,0.241111,1.074019
549,0.109800,0.040923,0.240896,1.075979
550,0.110000,0.040708,0.240681,1.077938
551,0.110200,0.040492,0.240465,1.079898
552,0.110400,0.040276,0.240249,1.081858
553,0.110600,0.040059,0.240032,1.083818
554,0.110800,0.039842,0.239815,1.085778
555,0.111000,0.039625,0.239598,1.087738
556,0.111200,0.039407,0.239380,1.089698
