frame,t_s,min_z,mean_z,v_max
456,0.182400,0.020110,0.173008,1.820742
457,0.182800,0.020103,0.172602,1.824838
458,0.183200,0.020095,0.172197,1.828950
459,0.183600,0.020088,0.171792,1.833032
460,0.184000,0.020080,0.171387,1.837109
461,0.184400,0.020073,0.170983,1.841169
462,0.184800,0.020066,0.170580,1.845221
463,0.185200,0.020060,0.170177,1.849268
464,0.185600,0.020053,0.169776,1.853333
465,0.186000,0.020047,0.169375,1.857399
466,0.186400,0.020040,0.168976,1.861459
467,0.186800,0.020034,0.168578,1.865492
468,0.187200,0.020028,0.168181,1.869530
469,0.187600,0.020022,0.167786,1.873563
470,0.188000,0.020016,0.167392,1.877568
471,0.188400,0.020010,0.167000,1.881529
472,0.188800,0.020004,0.166609,1.885454
473,0.189200,0.019999,0.166221,1.889351
474,0.189600,0.019993,0.165834,1.893301
475,0.190000,0.019988,0.165450,1.897240
476,0.190400,0.019982,0.165067,1.901129
477,0.190800,0.019977,0.164687,1.905032
478,0.191200,0.019972,0.164309,1.908874
479,0.191600,0.019967,0.163933,1.912718
480,0.192000,0.019961,0.163560,1.916516
481,0.192400,0.019956,0.163189,1.920317
482,0.192800,0.019952,0.162821,1.924055
483,0.193200,0.019947,0.162455,1.927753
484,0.193600,0.019942,0.162091,1.931421
485,0.194000,0.019937,0.161730,1.935080
486,0.194400,0.019933,0.161371,1.938763
487,0.194800,0.019928,0.161014,1.942457
488,0.195200,0.019924,0.160659,1.946167
489,0.195600,0.019919,0.160306,1.949899
490,0.196000,0.019915,0.159956,1.953627
491,0.196400,0.019911,0.159607,1.957298
492,0.196800,0.019907,0.159260,1.960929
493,0.197200,0.019902,0.158914,1.964517
494,0.197600,0.019898,0.158571,1.968096
495,0.198000,0.019894,0.158228,1.971673
496,0.198400,0.019890,0.157887,1.975280
497,0.198800,0.019886,0.157548,1.978873
498,0.199200,0.019882,0.157209,1.982461
499,0.199600,0.019878,0.156871,1.986056
500,0.200000,0.019874,0.156534,1.989664
501,0.200400,0.019870,0.156199,1.993274
502,0.200800,0.019866,0.155863,1.996859
503,0.201200,0.019862,0.155529,2.000416
504,0.201600,0.019858,0.155195,2.003931
505,0.202000,0.019855,0.154861,2.007460
506,0.202400,0.019851,0.154528,2.011019
507,0.202800,0.019847,0.154195,2.014554
508,0.203200,0.019843,0.153863,2.018130
509,0.203600,0.019839,0.153530,2.021664
510,0.204000,0.019835,0.153198,2.025214
511,0.204400,0.019831,0.152866,2.028795
512,0.204800,0.019827,0.152535,2.032345
513,0.205200,0.019824,0.152203,2.035863
514,0.205600,0.019820,0.151872,2.039323
515,0.206000,0.019816,0.151540,2.042767
516,0.206400,0.019812,0.151209,2.046234
517,0.206800,0.019808,0.150878,2.049677
518,0.207200,0.019804,0.150547,2.053103
519,0.207600,0.019800,0.150216,2.056485
520,0.208000,0.019796,0.149885,2.059845
521,0.208400,0.019792,0.149555,2.063254
522,0.208800,0.019788,0.149225,2.066647
523,0.209200,0.019784,0.148895,2.069925
524,0.209600,0.019780,0.148565,2.073179
525,0.210000,0.019776,0.148236,2.076381
526,0.210400,0.019772,0.147907,2.079588
527,0.210800,0.019768,0.147579,2.082771
528,0.211200,0.019764,0.147251,2.085903
529,0.211600,0.019760,0.146924,2.089048
530,0.212000,0.019756,0.146598,2.092134
531,0.212400,0.019752,0.146272,2.095144
532,0.212800,0.019748,0.145947,2.098107
533,0.213200,0.019744,0.145623,2.101048
534,0.213600,0.019740,0.145300,2.103889
535,0.214000,0.019736,0.144978,2.106642
536,0.214400,0.019732,0.144657,2.109429
537,0.214800,0.019728,0.144337,2.112183
538,0.215200,0.019724,0.144018,2.114930
539,0.215600,0.019720,0.143700,2.117659
540,0.216000,0.019716,0.143383,2.120367
541,0.216400,0.019713,0.143068,2.123052
542,0.216800,0.019709,0.142754,2.125650
543,0.217200,0.019705,0.142440,2.128190
544,0.217600,0.019701,0.142128,2.130693
545,0.218000,0.019698,0.141818,2.133182
546,0.218400,0.019694,0.141508,2.135663
547,0.218800,0.019690,0.141200,2.138116
548,0.219200,0.019687,0.140893,2.140528
549,0.219600,0.019683,0.140587,2.142896
550,0.220000,0.019680,0.140282,2.145273
551,0.220400,0.019676,0.139978,2.147625
552,0.220800,0.019672,0.139676,2.149939
553,0.221200,0.019669,0.139374,2.152152
554,0.221600,0.019665,0.139074,2.154323
